date,request,Lended_Amount,Repaid_Amount,Locked_Amount
2021-11-10,275,455322.6100000001,166903.113,288419.4970000001
2021-11-11,257,431115.2899999999,148476.61400000003,282638.67599999986
2021-11-12,236,378420.0800000003,137735.637,240684.44300000032
2021-11-13,141,221448.43000000005,70433.948,151014.48200000005
2021-11-14,124,215706.36999999997,50848.706999999995,164857.66299999997
2021-11-15,301,524488.3599999998,213383.209,311105.1509999997
2021-11-16,277,493707.14999999997,145256.69599999997,348450.454
2021-11-17,283,464403.17999999976,133865.66700000002,330537.51299999974
2021-11-18,253,417751.5999999998,202377.48699999996,215374.11299999984
2021-11-19,267,468742.02999999997,176073.02699999994,292669.003
2021-11-20,183,324237.88999999996,130853.33300000001,193384.55699999994
2021-11-21,144,228263.61000000002,59506.61600000001,168756.994
2021-11-22,299,572216.5500000004,242398.065,329818.4850000004
2021-11-23,352,629005.4600000003,157292.22600000002,471713.2340000003
2021-11-24,294,580267.7500000002,156277.61500000005,423990.1350000002
2021-11-25,388,743280.8600000006,178493.91300000003,564786.9470000005
2021-11-26,323,543521.5199999997,186243.78500000003,357277.73499999964
2021-11-27,217,405342.2000000001,98863.85600000001,306478.3440000001
2021-11-28,140,237532.75000000003,44750.706,192782.04400000002
2021-11-29,338,547533.3000000003,230436.62199999997,317096.6780000003
2021-11-30,311,496877.5699999997,208910.20800000004,287967.3619999997
2021-12-01,270,472673.0600000002,169798.109,302874.9510000002
2021-12-02,280,496005.80999999994,175497.90699999998,320507.90299999993
2021-12-03,301,495933.2499999996,161149.39099999997,334783.8589999996
2021-12-04,180,297272.8300000001,86939.554,210333.27600000007
2021-12-05,152,248833.13000000006,66589.744,182243.38600000006
2021-12-06,303,506580.31000000064,179773.91900000008,326806.3910000005
2021-12-07,370,652778.27,224650.71200000006,428127.55799999996
2021-12-08,310,518066.73000000033,162468.215,355598.51500000036
2021-12-09,313,534021.85,172770.67600000004,361251.17399999994
2021-12-10,321,532478.7300000006,202601.97099999996,329876.7590000006
2021-12-11,189,324465.40999999986,74885.356,249580.05399999986
2021-12-12,136,207162.52000000002,55397.939999999995,151764.58000000002
2021-12-13,370,670222.7899999997,228464.56100000002,441758.2289999997
2021-12-14,376,673200.3400000002,254460.93399999998,418739.4060000002
2021-12-15,330,565882.9299999999,219967.68300000002,345915.2469999999
2021-12-16,357,596918.8399999997,218673.429,378245.41099999973
2021-12-17,290,515244.17999999935,189990.30700000003,325253.8729999993
2021-12-18,191,343240.83000000013,99321.729,243919.10100000014
2021-12-19,136,212642.30000000005,68470.207,144172.09300000005
2021-12-20,555,1006793.06,266661.27800000005,740131.782
2021-12-21,427,690573.5700000004,223244.39800000002,467329.17200000037
2021-12-22,415,699237.0099999992,213513.872,485723.1379999992
2021-12-23,337,510061.8400000001,207799.501,302262.3390000001
2021-12-24,139,228513.43999999994,79687.14,148826.29999999993
2021-12-25,57,90574.13999999998,3846.687,86727.45299999998
2021-12-26,123,200905.73000000007,64831.65,136074.08000000007
2021-12-27,235,363010.2000000001,93187.406,269822.7940000001
2021-12-28,239,396629.07999999984,124981.12900000002,271647.9509999998
2021-12-29,412,710459.4800000004,267814.85900000005,442644.6210000004
2021-12-30,370,645877.1500000004,260644.68300000002,385232.46700000035
2021-12-31,206,317300.1499999999,141339.02899999998,175961.12099999993
2022-01-01,49,77740.87,780,76960.87
2022-01-02,114,190478.93999999994,46267.585,144211.35499999995
2022-01-03,192,338821.55000000005,98219.13399999996,240602.41600000008
2022-01-04,307,517279.93,267240.441,250039.489
2022-01-05,298,528691.8399999996,224853.083,303838.75699999963
2022-01-06,256,440629.99000000017,154421.38400000002,286208.60600000015
2022-01-07,270,475090.5599999998,162747.02599999998,312343.53399999987
2022-01-08,162,259391.31,90905.256,168486.054
2022-01-09,106,163106.73000000004,37817.168999999994,125289.56100000005
2022-01-10,311,497370.2,162957.80800000002,334412.392
2022-01-11,268,451467.0799999999,166427.41700000004,285039.6629999998
2022-01-12,300,537319.2999999998,162832.553,374486.7469999998
2022-01-13,275,511682.24,176365.56600000002,335316.674
2022-01-14,282,473130.26000000007,199574.84300000005,273555.417
2022-01-15,155,249684.11999999997,76178.04999999999,173506.06999999998
2022-01-16,119,216103.92999999996,50744.33,165359.59999999998
2022-01-17,305,513607.43000000017,176106.255,337501.17500000016
2022-01-18,296,523282.6100000001,173883.64500000002,349398.9650000001
2022-01-19,315,535438.9500000004,198277.75499999998,337161.1950000004
2022-01-20,326,507021.0300000002,169528.35900000003,337492.6710000002
2022-01-21,318,577816.0000000002,170756.235,407059.76500000025
2022-01-22,185,301927.6400000001,96267.964,205659.67600000006
2022-01-23,113,187275.36000000002,38020.242,149255.11800000002
2022-01-24,364,716005.4899999995,233806.04,482199.4499999995
2022-01-25,329,547844.7700000005,234787.007,313057.7630000005
2022-01-26,352,638832.2000000005,225769.63499999995,413062.5650000006
2022-01-27,323,560574.0899999995,214748.78100000002,345825.3089999995
2022-01-28,330,607576.0700000001,226920.03099999996,380656.0390000001
2022-01-29,157,269271.8800000001,62725.156,206546.7240000001
2022-01-30,143,261129.02999999982,57354.75199999999,203774.27799999982
2022-01-31,338,645717.1499999998,242031.64699999997,403685.5029999998
2022-02-01,289,546841.1900000002,168741.209,378099.98100000015
2022-02-02,308,548673.4799999999,165365.77200000003,383307.70799999987
2022-02-03,288,479946.6100000003,161771.25899999996,318175.3510000003
2022-02-04,312,535024.4499999997,205828.597,329195.8529999997
2022-02-05,177,300884.63,82384.21100000001,218500.419
2022-02-06,114,182519.65000000002,56774.211,125745.43900000001
2022-02-07,313,568043.3700000008,161008.41900000002,407034.9510000008
2022-02-08,339,617953.9099999999,214340.52900000007,403613.3809999998
2022-02-09,312,534780.5999999997,201928.48000000007,332852.11999999965
2022-02-10,318,563443.55,193074.6350000001,370368.9149999999
2022-02-11,275,473940.1399999998,206216.08800000005,267724.05199999973
2022-02-12,176,276729.56999999995,68885.973,207843.59699999995
2022-02-13,126,209060.55,54760.537,154300.01299999998
2022-02-14,299,567149.1099999999,190686.47,376462.6399999999
2022-02-15,259,478590.95000000007,158457.416,320133.5340000001
2022-02-16,299,561428.0599999997,190670.0380000001,370758.02199999965
2022-02-17,297,580801.5499999999,185441.21699999998,395360.333
2022-02-18,290,498688.49999999994,209854.89200000002,288833.6079999999
2022-02-19,169,263947.74,71349.09599999999,192598.644
2022-02-20,116,193119.34000000003,69915.235,123204.10500000003
2022-02-21,335,627024.3500000003,202958.09299999996,424066.25700000033
2022-02-22,318,534336.7999999998,185838.523,348498.2769999998
2022-02-23,344,666894.5299999997,195736.02099999998,471158.5089999997
2022-02-24,333,562277.2999999999,192945.61000000002,369331.68999999994
2022-02-25,288,460196.98999999976,157825.36900000004,302371.6209999997
2022-02-26,169,266787.26,63332.334,203454.926
2022-02-27,98,165267.32000000004,50184.17300000001,115083.14700000003
2022-02-28,349,669785.2500000003,240569.22499999995,429216.0250000004
2022-03-01,263,488300.67000000004,154226.085,334074.5850000001
2022-03-02,285,527122.7700000001,200092.64600000004,327030.12400000007
2022-03-03,179,302013.6800000002,82875.20800000001,219138.4720000002
2022-03-04,302,571927.9899999998,160912.85600000006,411015.1339999997
2022-03-05,140,243834.03999999992,69417.426,174416.6139999999
2022-03-06,108,199422.37999999998,72183.046,127239.33399999997
2022-03-07,338,590753.3399999996,199230.64200000002,391522.6979999996
2022-03-08,330,578459.0799999998,154752.156,423706.9239999999
2022-03-09,281,551509.7199999997,149121.40100000004,402388.31899999967
2022-03-10,377,725223.78,182929.66899999997,542294.111
2022-03-11,371,728851.8500000002,221794.352,507057.4980000002
2022-03-12,202,368807.9799999999,113261.88900000001,255546.0909999999
2022-03-13,148,252716.86999999994,57979.792,194737.07799999992
2022-03-14,371,664730.9199999997,261131.754,403599.16599999974
2022-03-15,347,647156.5799999997,189915.07600000003,457241.5039999997
2022-03-16,354,689366.4700000003,197483.065,491883.4050000003
2022-03-17,440,824601.0700000001,222973.25699999998,601627.8130000001
2022-03-18,388,694594.6500000001,202754.90300000008,491839.7470000001
2022-03-19,208,363354.1899999997,81508.38799999999,281845.80199999973
2022-03-20,158,289265.22999999975,66640.37899999999,222624.85099999976
2022-03-21,400,717241.9100000003,204789.42900000006,512452.4810000002
2022-03-22,381,685057.3300000005,173286.78900000002,511770.54100000055
